Date,Festival,Product_Category,Sub_Category,Actual Price,Discount Price,Discount (%),Profit,Sales_Quantity,Age,Gender,Location,Review Rating,Previous Purchases,Frequency Of Purchases,Income,Browsing Time,Frequency,Festival Day Type
2024-08-23,Normal Days,Clothing,Shorts,104,56,46.15,48,7,56,Male,Kentucky,5.0,7,Every 3 Months,87969,26,Low,Non-Festival Day
2024-12-10,Normal Days,Accessories,Handbag,123,94,23.58,29,4,54,Male,North Carolina,4.4,41,Every 3 Months,25311,27,Low,Non-Festival Day
2024-02-18,Normal Days,Clothing,Dress,79,48,39.24,31,5,31,Male,Wyoming,4.1,14,Weekly,123355,18,Low,Non-Festival Day
2024-02-28,Normal Days,Accessories,Jewelry,77,31,59.74,46,8,57,Male,North Carolina,4.7,16,Monthly,124724,16,Low,Non-Festival Day
2024-06-18,Normal Days,Clothing,Dress,111,79,28.83,32,4,33,Male,West Virginia,4.7,45,Monthly,103104,22,Low,Non-Festival Day
2024-07-06,Normal Days,Outerwear,Jacket,87,67,22.99,20,7,36,Male,Kansas,4.9,37,Annually,73707,8,Low,Non-Festival Day
2024-09-27,Normal Days,Clothing,Pants,57,38,33.33,19,8,54,Male,Colorado,3.3,45,Quarterly,105305,18,Low,Non-Festival Day
2024-07-08,Normal Days,Clothing,T-shirt,139,91,34.53,48,6,36,Male,North Dakota,4.6,38,Quarterly,48693,23,Low,Non-Festival Day
2024-06-23,Normal Days,Clothing,Blouse,40,33,17.5,7,7,54,Male,Massachusetts,4.0,48,Bi-Weekly,91932,17,Low,Non-Festival Day
2024-02-20,Normal Days,Clothing,T-shirt,110,69,37.27,41,10,35,Male,Illinois,4.6,44,Fortnightly,147723,29,Low,Non-Festival Day
2024-12-29,Year-End Clearance,Clothing,Jeans,56,45,19.64,11,12,35,Male,Indiana,2.8,10,Weekly,113016,84,High,Festival Day
2024-02-24,Normal Days,Clothing,Dress,62,37,40.32,25,4,29,Male,Florida,3.7,44,Every 3 Months,126970,22,Low,Non-Festival Day
2024-08-31,Labor Day Weekend Sale,Clothing,Pants,73,60,17.81,13,9,70,Male,Arizona,4.2,18,Monthly,45658,72,High,Festival Day
2024-11-15,Normal Days,Accessories,Handbag,119,76,36.13,43,7,69,Male,Louisiana,4.6,31,Quarterly,104478,10,Low,Non-Festival Day
2024-05-10,Normal Days,Accessories,Scarf,61,39,36.07,22,8,67,Male,Alaska,4.5,40,Annually,142537,13,Low,Non-Festival Day
2024-11-02,Normal Days,Outerwear,Coat,108,100,7.41,8,3,20,Male,Tennessee,4.1,15,Annually,38431,16,Low,Non-Festival Day
2024-05-14,Normal Days,Accessories,Scarf,98,69,29.59,29,6,25,Male,Ohio,3.7,19,Fortnightly,22747,23,Low,Non-Festival Day
2024-01-21,Normal Days,Accessories,Hat,71,53,25.35,18,6,39,Male,Kentucky,4.6,45,Weekly,143855,18,Low,Non-Festival Day
2024-11-24,Normal Days,Clothing,Socks,34,21,38.24,13,4,50,Male,Tennessee,2.9,25,Annually,79150,19,Low,Non-Festival Day
2024-06-15,Normal Days,Clothing,Shirt,73,43,41.1,30,8,57,Male,California,2.9,45,Quarterly,85725,15,Low,Non-Festival Day
2024-09-30,Normal Days,Accessories,Jewelry,60,54,10.0,6,8,55,Male,Montana,4.5,36,Weekly,149981,10,Low,Non-Festival Day
2024-03-29,Easter Sales,Clothing,Shirt,79,55,30.38,24,13,42,Male,Nevada,2.7,38,Monthly,104654,75,High,Festival Day
2024-11-11,Normal Days,Clothing,Hoodie,62,30,51.61,32,7,68,Male,New Jersey,4.6,34,Bi-Weekly,55773,7,Low,Non-Festival Day
2024-01-14,Normal Days,Clothing,Blouse,39,28,28.21,11,8,49,Male,Maryland,3.7,39,Bi-Weekly,139346,23,Low,Non-Festival Day
2024-08-29,Normal Days,Clothing,Skirt,107,59,44.86,48,11,59,Male,Vermont,4.7,7,Quarterly,87435,24,Low,Non-Festival Day
2024-09-21,Normal Days,Clothing,T-shirt,32,20,37.5,12,5,42,Male,Alaska,2.6,26,Weekly,76886,29,Low,Non-Festival Day
2024-12-11,Normal Days,Clothing,Skirt,63,24,61.9,39,9,29,Male,Mississippi,3.9,35,Weekly,86803,15,Low,Non-Festival Day
2024-02-22,Normal Days,Outerwear,Coat,112,94,16.07,18,5,47,Male,New Mexico,4.2,35,Bi-Weekly,51551,28,Low,Non-Festival Day
2024-12-05,Normal Days,Outerwear,Jacket,49,28,42.86,21,3,40,Male,South Carolina,3.0,49,Annually,136216,21,Low,Non-Festival Day
2024-04-01,Normal Days,Accessories,Backpack,113,73,35.4,40,7,41,Male,Mississippi,4.7,46,Weekly,31394,21,Low,Non-Festival Day
2024-09-20,Normal Days,Outerwear,Coat,108,64,40.74,44,6,21,Male,West Virginia,4.4,17,Fortnightly,89092,27,Low,Non-Festival Day
2024-02-04,Normal Days,Clothing,Hoodie,62,54,12.9,8,4,69,Male,Missouri,4.2,29,Monthly,23890,7,Low,Non-Festival Day
2024-07-24,Back to School Sales,Accessories,Belt,85,79,7.06,6,15,63,Male,Louisiana,4.6,4,Weekly,61606,43,High,Festival Day
2024-03-21,Normal Days,Clothing,Sweater,47,37,21.28,10,2,50,Male,Idaho,4.0,17,Weekly,116276,11,Low,Non-Festival Day
2024-02-19,Normal Days,Accessories,Scarf,114,68,40.35,46,7,55,Male,Texas,4.7,21,Every 3 Months,145768,29,Low,Non-Festival Day
2024-12-25,Normal Days,Footwear,Sneakers,29,21,27.59,8,2,30,Male,Mississippi,3.8,31,Fortnightly,100038,23,Low,Non-Festival Day
2024-01-02,Normal Days,Accessories,Sunglasses,112,79,29.46,33,4,33,Male,Arizona,2.7,43,Weekly,107313,7,Low,Non-Festival Day
2024-02-23,Normal Days,Footwear,Boots,105,83,20.95,22,4,65,Male,Alabama,4.8,18,Fortnightly,30627,6,Low,Non-Festival Day
2024-04-15,Normal Days,Accessories,Backpack,66,36,45.45,30,5,65,Male,New Jersey,4.8,44,Every 3 Months,28792,21,Low,Non-Festival Day
2024-09-16,Normal Days,Clothing,Blouse,142,94,33.8,48,8,31,Male,Pennsylvania,4.7,3,Every 3 Months,128859,13,Low,Non-Festival Day
2024-11-05,Normal Days,Outerwear,Coat,71,33,53.52,38,8,45,Male,Connecticut,4.4,49,Monthly,128557,26,Low,Non-Festival Day
2024-07-09,Normal Days,Accessories,Handbag,60,46,23.33,14,8,57,Male,Utah,3.9,21,Every 3 Months,93969,10,Low,Non-Festival Day
2024-08-05,Back to School Sales,Accessories,Belt,110,70,36.36,40,17,48,Male,Tennessee,4.4,5,Weekly,63001,85,High,Festival Day
2024-02-13,Normal Days,Accessories,Belt,47,29,38.3,18,7,22,Male,Alabama,4.2,32,Every 3 Months,96552,25,Low,Non-Festival Day
2024-06-10,Normal Days,Clothing,Dress,83,48,42.17,35,10,36,Male,Virginia,2.9,34,Annually,43897,13,Low,Non-Festival Day
2024-07-20,Back to School Sales,Clothing,Dress,45,26,42.22,19,8,18,Male,Georgia,2.9,21,Every 3 Months,88148,60,High,Festival Day
2024-09-26,Normal Days,Clothing,Pants,97,85,12.37,12,5,48,Male,Hawaii,2.7,43,Bi-Weekly,141729,9,Low,Non-Festival Day
2024-12-16,Normal Days,Accessories,Gloves,76,58,23.68,18,9,49,Male,Indiana,4.5,3,Monthly,144243,6,Low,Non-Festival Day
2024-10-30,Normal Days,Accessories,Scarf,112,85,24.11,27,9,64,Male,Utah,2.7,21,Annually,140923,26,Low,Non-Festival Day
2024-09-27,Normal Days,Accessories,Hat,87,43,50.57,44,5,50,Male,Delaware,4.2,32,Monthly,140174,19,Low,Non-Festival Day
2024-08-02,Back to School Sales,Clothing,Dress,78,53,32.05,25,15,22,Male,Delaware,3.3,36,Fortnightly,43483,38,High,Festival Day
2024-09-08,Normal Days,Clothing,Skirt,111,91,18.02,20,8,50,Male,Nebraska,4.7,50,Fortnightly,144358,23,Low,Non-Festival Day
2024-07-08,Normal Days,Outerwear,Jacket,145,96,33.79,49,9,38,Male,Iowa,2.6,43,Every 3 Months,68555,14,Low,Non-Festival Day
2024-10-22,Normal Days,Footwear,Sandals,94,72,23.4,22,5,19,Male,New York,3.3,24,Every 3 Months,145436,8,Low,Non-Festival Day
2024-07-31,Back to School Sales,Footwear,Shoes,124,96,22.58,28,16,67,Male,Virginia,2.6,36,Every 3 Months,37159,39,High,Festival Day
2024-07-26,Back to School Sales,Clothing,Pants,58,28,51.72,30,15,19,Male,Georgia,4.0,21,Every 3 Months,130510,88,High,Festival Day
2024-08-24,Normal Days,Clothing,Dress,69,40,42.03,29,8,36,Male,Texas,4.1,34,Weekly,126530,12,Low,Non-Festival Day
2024-12-03,Normal Days,Outerwear,Coat,81,32,60.49,49,6,52,Male,Arizona,4.4,42,Every 3 Months,100077,26,Low,Non-Festival Day
2024-02-22,Normal Days,Accessories,Sunglasses,140,95,32.14,45,7,53,Male,New Mexico,4.5,2,Bi-Weekly,55920,17,Low,Non-Festival Day
2024-10-06,Normal Days,Clothing,Hoodie,74,41,44.59,33,9,24,Male,Nevada,3.7,47,Bi-Weekly,112067,11,Low,Non-Festival Day
2024-08-04,Back to School Sales,Footwear,Shoes,72,53,26.39,19,7,52,Male,Ohio,3.7,44,Fortnightly,87121,36,High,Festival Day
2024-09-08,Normal Days,Clothing,T-shirt,96,47,51.04,49,5,33,Male,Wyoming,3.5,35,Monthly,89479,8,Low,Non-Festival Day
2024-07-06,Normal Days,Outerwear,Jacket,88,83,5.68,5,4,47,Male,California,3.6,15,Quarterly,109475,19,Low,Non-Festival Day
2024-02-10,Normal Days,Accessories,Hat,77,48,37.66,29,5,25,Male,South Carolina,2.9,29,Monthly,39457,16,Low,Non-Festival Day
2024-06-05,Normal Days,Accessories,Scarf,110,99,10.0,11,7,44,Male,South Carolina,4.6,18,Every 3 Months,86557,20,Low,Non-Festival Day
2024-01-15,Normal Days,Outerwear,Jacket,100,87,13.0,13,8,61,Male,Texas,4.4,13,Every 3 Months,97189,10,Low,Non-Festival Day
2024-10-27,Normal Days,Clothing,Sweater,90,62,31.11,28,5,37,Male,Florida,4.5,46,Weekly,129109,13,Low,Non-Festival Day
2024-03-05,Normal Days,Clothing,Skirt,81,76,6.17,5,3,58,Male,Nevada,4.6,28,Weekly,98953,7,Low,Non-Festival Day
2024-12-10,Normal Days,Footwear,Sneakers,148,100,32.43,48,10,37,Male,Missouri,3.8,48,Monthly,72995,12,Low,Non-Festival Day
2024-11-22,Normal Days,Accessories,Gloves,85,73,14.12,12,8,32,Male,Delaware,3.6,43,Every 3 Months,60757,11,Low,Non-Festival Day
2024-01-09,Normal Days,Footwear,Shoes,120,92,23.33,28,6,21,Male,Virginia,4.8,37,Annually,29692,8,Low,Non-Festival Day
2024-12-09,Green Monday,Clothing,Jeans,82,67,18.29,15,14,20,Male,New York,2.6,20,Annually,65758,87,High,Festival Day
2024-05-08,Normal Days,Clothing,Hoodie,61,40,34.43,21,5,26,Male,Missouri,3.7,33,Quarterly,149425,17,Low,Non-Festival Day
2024-05-15,Normal Days,Accessories,Sunglasses,110,98,10.91,12,8,62,Male,South Dakota,2.7,31,Fortnightly,92409,23,Low,Non-Festival Day
2024-03-03,Normal Days,Outerwear,Coat,124,85,31.45,39,9,27,Male,North Dakota,4.6,50,Bi-Weekly,91211,11,Low,Non-Festival Day
2024-05-18,Normal Days,Clothing,Socks,106,67,36.79,39,10,51,Male,Oklahoma,4.8,35,Quarterly,85697,14,Low,Non-Festival Day
2024-03-21,Normal Days,Footwear,Boots,126,89,29.37,37,6,54,Male,West Virginia,4.0,22,Bi-Weekly,57065,29,Low,Non-Festival Day
2024-06-11,Normal Days,Accessories,Sunglasses,33,24,27.27,9,3,55,Male,New Hampshire,4.4,1,Monthly,112093,16,Low,Non-Festival Day
2024-10-15,Normal Days,Accessories,Backpack,142,96,32.39,46,10,69,Male,New York,3.6,4,Annually,119299,7,Low,Non-Festival Day
2024-09-17,Normal Days,Outerwear,Jacket,78,35,55.13,43,5,64,Male,Minnesota,3.7,31,Monthly,149293,29,Low,Non-Festival Day
2024-08-18,Normal Days,Footwear,Sneakers,112,67,40.18,45,11,28,Male,Maryland,3.1,46,Fortnightly,52606,28,Low,Non-Festival Day
2024-02-10,Normal Days,Clothing,Socks,111,79,28.83,32,6,70,Male,Montana,3.4,32,Bi-Weekly,147791,16,Low,Non-Festival Day
2024-01-28,Normal Days,Clothing,T-shirt,96,85,11.46,11,7,58,Male,Alabama,2.6,43,Fortnightly,31534,23,Low,Non-Festival Day
2024-05-14,Normal Days,Accessories,Backpack,39,26,33.33,13,4,56,Male,New York,4.0,26,Fortnightly,114663,19,Low,Non-Festival Day
2024-07-19,Back to School Sales,Accessories,Belt,87,75,13.79,12,8,26,Male,Massachusetts,5.0,9,Annually,60397,69,High,Festival Day
2024-11-23,Normal Days,Accessories,Gloves,81,65,19.75,16,3,37,Male,Florida,4.3,28,Bi-Weekly,146678,16,Low,Non-Festival Day
2024-09-24,Normal Days,Accessories,Hat,92,54,41.3,38,4,44,Male,New Jersey,3.1,20,Quarterly,111387,24,Low,Non-Festival Day
2024-02-02,Normal Days,Outerwear,Coat,132,95,28.03,37,4,70,Male,Massachusetts,3.7,9,Weekly,21016,10,Low,Non-Festival Day
2024-02-17,Normal Days,Clothing,Skirt,121,94,22.31,27,7,53,Male,Wyoming,3.8,48,Every 3 Months,109789,14,Low,Non-Festival Day
2024-03-02,Normal Days,Footwear,Shoes,114,86,24.56,28,9,55,Male,Virginia,3.4,12,Annually,75591,6,Low,Non-Festival Day
2024-08-03,Back to School Sales,Footwear,Sandals,73,32,56.16,41,15,50,Male,South Dakota,4.6,29,Fortnightly,109812,85,High,Festival Day
2024-10-19,Normal Days,Clothing,Sweater,84,45,46.43,39,5,50,Male,Kentucky,4.8,27,Bi-Weekly,43247,17,Low,Non-Festival Day
2024-04-08,Normal Days,Outerwear,Coat,124,76,38.71,48,11,38,Male,Wyoming,4.3,44,Annually,44300,29,Low,Non-Festival Day
2024-06-20,Normal Days,Accessories,Hat,128,84,34.38,44,5,64,Male,West Virginia,4.0,32,Annually,94065,11,Low,Non-Festival Day
2024-12-25,Normal Days,Clothing,Shorts,98,72,26.53,26,6,19,Male,Virginia,4.2,11,Fortnightly,102798,12,Low,Non-Festival Day
2024-08-01,Back to School Sales,Accessories,Backpack,71,40,43.66,31,10,40,Male,Washington,4.8,44,Fortnightly,29268,52,High,Festival Day
2024-02-04,Normal Days,Clothing,Sweater,128,89,30.47,39,5,57,Male,Louisiana,3.1,46,Weekly,106807,20,Low,Non-Festival Day
2024-08-14,Back to School Sales,Clothing,Sweater,91,86,5.49,5,6,44,Male,Nevada,3.1,50,Annually,32185,40,High,Festival Day
2024-04-10,Normal Days,Clothing,Shorts,93,54,41.94,39,9,49,Male,California,3.6,45,Every 3 Months,83704,8,Low,Non-Festival Day
2024-05-10,Normal Days,Clothing,Shorts,77,36,53.25,41,5,43,Male,Mississippi,3.9,48,Every 3 Months,106779,21,Low,Non-Festival Day
2024-09-13,Normal Days,Clothing,Sweater,107,89,16.82,18,4,24,Male,Mississippi,4.8,26,Weekly,59099,20,Low,Non-Festival Day
2024-01-05,Normal Days,Accessories,Scarf,39,32,17.95,7,4,20,Male,California,4.7,21,Fortnightly,28571,23,Low,Non-Festival Day
2024-08-05,Back to School Sales,Clothing,Dress,72,67,6.94,5,12,24,Male,Pennsylvania,4.2,49,Bi-Weekly,143372,52,High,Festival Day
2024-09-11,Normal Days,Accessories,Scarf,48,39,18.75,9,3,44,Male,Kentucky,3.7,13,Fortnightly,125512,15,Low,Non-Festival Day
2024-12-24,Christmas Sales,Clothing,Skirt,59,29,50.85,30,14,28,Male,Maine,3.9,46,Weekly,58044,36,High,Festival Day
2024-10-09,Normal Days,Accessories,Backpack,76,58,23.68,18,4,30,Male,New Mexico,4.7,42,Weekly,71214,17,Low,Non-Festival Day
2024-07-25,Back to School Sales,Clothing,Sweater,108,65,39.81,43,14,52,Male,Montana,2.5,25,Annually,81228,80,High,Festival Day
2024-01-15,Normal Days,Accessories,Hat,125,94,24.8,31,6,43,Male,Texas,4.9,25,Monthly,134752,21,Low,Non-Festival Day
2024-12-11,Normal Days,Footwear,Sandals,94,81,13.83,13,5,43,Male,Kansas,4.1,12,Quarterly,68984,29,Low,Non-Festival Day
2024-02-11,Normal Days,Clothing,Blouse,105,86,18.1,19,8,39,Male,South Carolina,3.3,4,Quarterly,60774,26,Low,Non-Festival Day
2024-06-27,Normal Days,Footwear,Sneakers,62,43,30.65,19,4,68,Male,Colorado,4.7,38,Weekly,22568,17,Low,Non-Festival Day
2024-03-03,Normal Days,Clothing,Skirt,59,29,50.85,30,7,68,Male,Georgia,4.4,42,Weekly,140151,16,Low,Non-Festival Day
2024-12-17,Normal Days,Outerwear,Coat,141,95,32.62,46,6,49,Male,Florida,3.8,30,Annually,82592,11,Low,Non-Festival Day
2024-08-18,Normal Days,Clothing,Shirt,45,28,37.78,17,6,63,Male,North Carolina,3.9,50,Weekly,87563,5,Low,Non-Festival Day
2024-08-28,Normal Days,Accessories,Gloves,82,46,43.9,36,6,56,Male,Virginia,4.9,45,Weekly,22695,5,Low,Non-Festival Day
2024-02-21,Normal Days,Outerwear,Jacket,101,58,42.57,43,9,37,Male,Nebraska,3.1,33,Fortnightly,144375,24,Low,Non-Festival Day
2024-04-05,Normal Days,Outerwear,Coat,84,48,42.86,36,10,30,Male,Missouri,2.7,25,Quarterly,68190,27,Low,Non-Festival Day
2024-08-09,Back to School Sales,Footwear,Shoes,51,43,15.69,8,6,19,Male,New Jersey,3.2,25,Monthly,25258,43,High,Festival Day
2024-08-18,Normal Days,Accessories,Jewelry,129,95,26.36,34,5,24,Male,Missouri,4.5,44,Quarterly,107538,19,Low,Non-Festival Day
2024-08-24,Normal Days,Clothing,Skirt,71,30,57.75,41,6,52,Male,Colorado,4.0,21,Fortnightly,59504,15,Low,Non-Festival Day
2024-05-22,Normal Days,Footwear,Shoes,91,64,29.67,27,9,63,Male,Idaho,3.5,31,Fortnightly,53159,28,Low,Non-Festival Day
2024-06-19,Normal Days,Accessories,Gloves,133,90,32.33,43,10,37,Male,Wyoming,2.6,47,Annually,33986,13,Low,Non-Festival Day
2024-01-29,Normal Days,Clothing,Pants,125,76,39.2,49,7,38,Male,Delaware,3.2,14,Monthly,81858,21,Low,Non-Festival Day
2024-02-05,Normal Days,Footwear,Boots,115,96,16.52,19,4,35,Male,California,4.9,17,Every 3 Months,149312,8,Low,Non-Festival Day
2024-01-13,Normal Days,Accessories,Sunglasses,94,47,50.0,47,5,28,Male,North Dakota,4.5,3,Annually,32666,24,Low,Non-Festival Day
2024-06-08,Normal Days,Clothing,Shirt,118,85,27.97,33,8,30,Male,South Carolina,4.3,42,Annually,58660,23,Low,Non-Festival Day
2024-11-22,Normal Days,Clothing,Hoodie,95,55,42.11,40,8,69,Male,North Carolina,3.2,22,Annually,23561,11,Low,Non-Festival Day
2024-07-05,Normal Days,Clothing,Dress,115,98,14.78,17,8,41,Male,Oklahoma,3.6,21,Quarterly,46854,5,Low,Non-Festival Day
2024-08-30,Labor Day Weekend Sale,Clothing,Socks,113,77,31.86,36,12,63,Male,Maine,4.3,21,Quarterly,84505,70,High,Festival Day
2024-03-26,Normal Days,Clothing,Shorts,37,26,29.73,11,6,35,Male,Missouri,4.0,40,Annually,124488,17,Low,Non-Festival Day
2024-10-10,Normal Days,Accessories,Hat,94,68,27.66,26,5,36,Male,Vermont,3.0,1,Fortnightly,72251,28,Low,Non-Festival Day
2024-03-06,Normal Days,Clothing,Shirt,105,73,30.48,32,9,25,Male,Connecticut,4.1,50,Monthly,42662,6,Low,Non-Festival Day
2024-06-18,Normal Days,Accessories,Gloves,33,27,18.18,6,5,58,Male,New Hampshire,3.8,39,Every 3 Months,28392,6,Low,Non-Festival Day
2024-02-14,Valentineâ€™s Day,Accessories,Gloves,69,23,66.67,46,14,27,Male,Texas,4.6,34,Monthly,50535,53,High,Festival Day
2024-03-02,Normal Days,Accessories,Backpack,98,49,50.0,49,11,65,Male,North Dakota,3.0,29,Fortnightly,98603,19,Low,Non-Festival Day
2024-05-13,Normal Days,Accessories,Sunglasses,84,74,11.9,10,2,54,Male,California,3.0,31,Bi-Weekly,133569,21,Low,Non-Festival Day
2024-10-10,Normal Days,Clothing,Skirt,99,67,32.32,32,10,54,Male,Virginia,3.4,8,Weekly,72256,17,Low,Non-Festival Day
2024-01-28,Normal Days,Accessories,Handbag,97,65,32.99,32,6,59,Male,Delaware,2.6,5,Fortnightly,109135,11,Low,Non-Festival Day
2024-04-17,Normal Days,Accessories,Handbag,108,60,44.44,48,10,42,Male,Kentucky,2.8,7,Monthly,147478,13,Low,Non-Festival Day
2024-02-13,Normal Days,Footwear,Sneakers,79,31,60.76,48,10,46,Male,Delaware,4.0,30,Monthly,55222,16,Low,Non-Festival Day
2024-12-05,Normal Days,Accessories,Gloves,51,27,47.06,24,4,33,Male,Arkansas,4.0,14,Every 3 Months,97373,7,Low,Non-Festival Day
2024-10-12,Normal Days,Footwear,Shoes,114,80,29.82,34,4,34,Male,Louisiana,3.0,5,Fortnightly,99575,27,Low,Non-Festival Day
2024-11-26,Normal Days,Outerwear,Jacket,45,30,33.33,15,2,27,Male,Nevada,3.3,3,Every 3 Months,143684,26,Low,Non-Festival Day
2024-05-07,Normal Days,Clothing,Shirt,57,25,56.14,32,9,52,Male,Wyoming,2.6,46,Bi-Weekly,116354,19,Low,Non-Festival Day
2024-12-13,Normal Days,Clothing,Shorts,64,35,45.31,29,9,29,Male,Virginia,3.6,4,Weekly,104651,11,Low,Non-Festival Day
2024-08-18,Normal Days,Accessories,Jewelry,110,67,39.09,43,9,54,Male,Nebraska,3.9,42,Bi-Weekly,83335,27,Low,Non-Festival Day
2024-07-08,Normal Days,Accessories,Hat,83,46,44.58,37,8,25,Male,Hawaii,3.4,30,Annually,30965,5,Low,Non-Festival Day
2024-08-12,Back to School Sales,Footwear,Shoes,40,35,12.5,5,13,41,Male,Vermont,3.5,37,Annually,44538,43,High,Festival Day
2024-10-09,Normal Days,Outerwear,Coat,117,86,26.5,31,4,53,Male,Oklahoma,2.8,2,Annually,128066,23,Low,Non-Festival Day
2024-04-30,Normal Days,Accessories,Backpack,98,81,17.35,17,4,53,Male,New Hampshire,2.7,30,Quarterly,90592,20,Low,Non-Festival Day
2024-04-25,Normal Days,Clothing,Hoodie,87,42,51.72,45,8,21,Male,Kansas,3.7,47,Monthly,118018,14,Low,Non-Festival Day
2024-08-20,Normal Days,Clothing,Skirt,50,43,14.0,7,6,61,Male,Idaho,4.3,21,Quarterly,133252,5,Low,Non-Festival Day
2024-09-15,Normal Days,Footwear,Boots,74,31,58.11,43,6,64,Male,Illinois,4.9,9,Fortnightly,28110,9,Low,Non-Festival Day
2024-12-24,Christmas Sales,Footwear,Sandals,91,81,10.99,10,12,51,Male,South Dakota,3.3,12,Fortnightly,99309,32,High,Festival Day
2024-07-16,Back to School Sales,Clothing,Pants,73,61,16.44,12,10,32,Male,Massachusetts,4.7,4,Weekly,47266,78,High,Festival Day
2024-05-16,Normal Days,Accessories,Gloves,127,96,24.41,31,8,38,Male,Alabama,2.8,10,Annually,72992,22,Low,Non-Festival Day
2024-11-13,Normal Days,Clothing,Skirt,42,29,30.95,13,8,58,Male,Ohio,3.6,26,Weekly,102948,25,Low,Non-Festival Day
2024-06-13,Normal Days,Footwear,Sneakers,74,33,55.41,41,8,32,Male,Hawaii,3.0,40,Fortnightly,142073,23,Low,Non-Festival Day
